"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-02-07","   50","   60","5.14"," 0151"," 0145","0.08",,"0.0","0.0",,"59","39","  344","  210",,,"  225",,"8.1",,,"12.8","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-02-08","   50","   60","8.50"," 1050"," 1640","0.00",,"0.0","0.0",,"68","36","  565","  210",,,"  180",,"17.0",,,"24.2","    1",,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-02-09","  100","  100","10.29"," 1940"," 1917","0.98",,"0.0","0.0",,"67","46","    0","  350",,,"  315",,"21.0",,,"38.0","    1",,"    1",,,,,,,,,,"    1",,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-02-10","   60","   60","7.61"," 0854"," 0200","0.22",,"0.0","0.0",,"56","36","  518","   20",,,"  360",,"12.1",,,"20.8","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-02-11","   60","   70","6.49"," 1455"," 1418","0.00",,"0.0","0.0",,"62","33","  301","  300",,,"  270",,"8.9",,,"19.5",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-02-12","   40","   40","6.71"," 1256"," 1303","0.00",,"0.0","0.0",,"68","32","  605","  180",,,"  180",,"12.1",,,"21.9",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-02-13","  100","  100","11.63"," 1052"," 1315","0.00",,"0.0","0.0",,"70","54","  255","  220",,,"  225",,"23.0",,,"39.1",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-02-14","  100","   90","10.29"," 2252"," 2336","0.00",,"0.0","0.0",,"75","60","   69","  180",,,"  180",,"17.0",,,"26.4",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-02-15","  100","  100","15.88"," 0453"," 1202","0.39",,"0.0","0.0",,"69","63","    5","  180",,,"  180",,"23.9",,,"35.6","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-02-16","   70","   90","8.05"," 1450"," 1157","0.01",,"0.0","0.0",,"65","42","  222","  290",,,"  315",,"14.1",,,"21.9",,,,,,,,,,,,,,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-02-17","   50","   70","8.05"," 0153"," 0153","0.00",,"0.0","0.0",,"43","28","  431","  350",,,"  360",,"16.1",,,"19.5",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-02-18","   80","  100","4.92"," 1650"," 1716","0.00",,"0.0","0.0",,"56","30","   21","  180",,,"  180",,"12.1",,,"17.2",,,,,,,,,,,,,,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-02-19","   80","  100","7.38"," 1351"," 1258","0.00",,"0.0","0.0",,"59","35","  414","  360",,,"  360",,"12.1",,,"18.3",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-02-20","    0","    0","5.82"," 1750"," 1230","0.00",,"0.0","0.0",,"53","29","  664","   20",,,"  360",,"6.9",,,"15.0",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-02-21","   60","   60","8.50"," 2351"," 2349","0.00",,"0.0","0.0",,"69","29","  440","  160",,,"  180",,"15.0",,,"25.3",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-02-22","   70","   80","14.76"," 1325"," 1315","0.03",,"0.0","0.0",,"70","53","  231","  210",,,"  225",,"30.0",,,"41.4",,,,,,,,,,,,,,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-02-23","   90","  100","10.07"," 1442"," 0026","0.01",,"0.0","0.0",,"58","34","   14","  310",,,"  270",,"17.0",,,"31.1","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-02-24","   20","   20","15.43"," 0852"," 1027","0.00",,"0.0","0.0",,"51","26","  616","  290",,,"  315",,"29.1",,,"44.7",,,,,,,,,,,,,,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-02-25","   20","   10","9.40"," 0150"," 0014","0.00",,"0.0","0.0",,"36","20","  599","  350",,,"  315",,"15.0",,,"23.0",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-02-26","   70","  100","6.93"," 1250"," 1254","0.00",,"0.0","0.0",,"52","24","   18","  180",,,"  180",,"10.1",,,"16.1",,,,,,,,,,,,,,,,,"    1",,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-02-27","   70","   60","10.07"," 1050"," 1602","0.00",,"0.0","0.0",,"70","44","  415","  220",,,"  270",,"15.0",,,"20.8",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-02-28","  100","  100","8.95"," 2350"," 2358","0.00",,"0.0","0.0",,"50","41","    0","   30",,,"   45",,"12.1",,,"19.5",,,,,,,,"    1",,,,,"    1",,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-03-01","  100","  100","8.05"," 0153"," 0218","0.17",,"0.0","0.0",,"42","37","   13","   30",,,"   45",,"15.0",,,"19.5","    1",,,,,,,"    1",,,,,,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-03-02","  100","  100","7.38"," 1250"," 1517","0.46",,"0.0","0.0",,"45","40","    0","  360",,,"  360",,"12.1",,,"17.2","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-03-03","   10","    0","9.84"," 1951"," 1253","0.00",,"0.0","0.0",,"62","32","  688","  350",,,"  315",,"14.1",,,"23.0",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-03-04","    0","    0","6.49"," 2051"," 1030","0.00",,"0.0","0.0",,"57","29","  691","  180",,,"   45",,"8.9",,,"13.9",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-03-05","   20","   20","6.71"," 1552"," 1323","0.00",,"0.0","0.0",,"68","31","  680","  180",,,"  180",,"12.1",,,"16.1",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-03-06","   60","   60","8.05"," 2151"," 2107","0.00",,"0.0","0.0",,"74","37","  630","   60",,,"   45",,"13.0",,,"16.1",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-03-07","  100","  100","9.40"," 2252"," 2334","0.00",,"0.0","0.0",,"64","49","   43","  150",,,"  135",,"16.1",,,"26.4",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-03-08","  100","  100","12.53"," 0954"," 1030","0.27",,"0.0","0.0",,"60","49","    0","  160",,,"  180",,"23.0",,,"46.1","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-03-09","  100","  100","8.28"," 0051"," 0031","0.11",,"0.0","0.0",,"62","51","   24","  190",,,"  180",,"15.0",,,"20.8","    1",,,,,,,,,,,,"    1",,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-03-10","   80","   80","8.50"," 1253"," 1418","0.08",,"0.0","0.0",,"77","59","  444","  200",,,"  225",,"16.1",,,"21.9","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-03-11","   70","   80","8.50"," 1151"," 1113","0.00",,"0.0","0.0",,"82","60","  560","  190",,,"  180",,"16.1",,,"25.3",,,,,,,,,,,,,,,,,,,,,
